שם יישוב,קוד יישוב ,שם מחוז,אסדרה,מתח,סוג המונה,ביתי/ לא ביתי,(GVA) גודל חיבור
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
פתח תקווה,7900,המרכז,אסדרה קיימת,נמוך,חכם,ביתי,0.01732
